Time,T1,T2,T3,T4,T5,T6,T7,T8
20240701T090425,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
20240701T090432,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
20240701T090439,21.1,21.1,21.0,21.0,21.0,21.1,21.1,21.1
20240701T090446,21.1,21.1,21.0,21.0,21.0,21.1,21.1,21.1
20240701T090455,21.1,21.1,21.0,21.0,21.0,21.1,21.1,21.1
20240701T090502,21.1,21.1,21.0,21.0,21.0,21.1,21.1,21.1
20240701T090510,21.1,21.1,21.0,21.0,21.0,21.1,21.1,21.1
20240701T090517,21.1,21.1,21.0,21.1,21.0,21.1,21.1,21.1
20240701T090524,21.1,21.1,21.0,21.0,21.0,21.1,21.1,21.1
20240701T090531,21.1,21.1,21.0,21.0,21.0,21.1,21.1,21.1
